Metro	Dimension Type	Month	Dimension	Measure	Value	YoY
San Francisco	Job Title	2019-10	Server	Median Base Pay	$ 40,460	3.2%
San Francisco	Job Title	2019-10	Software Engineer	Median Base Pay	$ 127,150	3.1%
San Francisco	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 136,490	2.2%
San Francisco	Job Title	2019-10	Store Manager	Median Base Pay	$ 69,289	2.8%
San Francisco	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 106,121	3.1%
San Francisco	Job Title	2019-10	Tax Manager	Median Base Pay	$ 117,467	1.9%
San Francisco	Job Title	2019-10	Teacher	Median Base Pay	$ 70,053	3.5%
San Francisco	Job Title	2019-10	Technical Editor	Median Base Pay	$ 67,640	3.0%
San Francisco	Job Title	2019-10	Technical Support	Median Base Pay	$ 69,169	2.6%
San Francisco	Job Title	2019-10	Technician	Median Base Pay	$ 61,774	3.6%
San Francisco	Job Title	2019-10	Truck Driver	Median Base Pay	$ 69,980	3.8%
San Francisco	Job Title	2019-10	UX Designer	Median Base Pay	$ 111,237	2.2%
San Francisco	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 59,091	6.4%
San Francisco	Job Title	2019-10	Web Designer	Median Base Pay	$ 83,968	2.3%
San Francisco	Job Title	2019-10	Web Developer	Median Base Pay	$ 105,884	4.5%
Chicago	Job Title	2019-10	Accountant	Median Base Pay	$ 62,643	1.9%
Chicago	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 48,299	2.9%
Chicago	Job Title	2019-10	Attorney	Median Base Pay	$ 114,732	1.6%
Chicago	Job Title	2019-10	Bank Teller	Median Base Pay	$ 32,753	2.9%
Chicago	Job Title	2019-10	Barista	Median Base Pay	$ 26,292	3.3%
Chicago	Job Title	2019-10	Bartender	Median Base Pay	$ 38,668	1.7%
Chicago	Job Title	2019-10	Business Analyst	Median Base Pay	$ 75,903	1.9%
Chicago	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 73,189	-1.6%
Chicago	Job Title	2019-10	Buyer	Median Base Pay	$ 66,477	3.5%
Chicago	Job Title	2019-10	Cashier	Median Base Pay	$ 29,303	3.4%
Chicago	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 30,801	3.9%
Chicago	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 76,390	2.7%
Chicago	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 57,403	3.7%
Chicago	Job Title	2019-10	Communications Manager	Median Base Pay	$ 80,279	0.5%
Chicago	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 46,587	6.6%
Chicago	Job Title	2019-10	Consultant	Median Base Pay	$ 89,153	1.9%
Chicago	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 61,153	1.0%
Chicago	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 43,396	4.1%
Chicago	Job Title	2019-10	Data Analyst	Median Base Pay	$ 67,683	3.7%
Chicago	Job Title	2019-10	Data Scientist	Median Base Pay	$ 106,094	0.8%
Chicago	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 42,940	1.7%
Chicago	Job Title	2019-10	Design Engineer	Median Base Pay	$ 79,025	2.9%
Chicago	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 83,901	2.3%
Chicago	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 34,236	3.8%
Chicago	Job Title	2019-10	Field Engineer	Median Base Pay	$ 70,077	2.1%
Chicago	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 58,405	2.0%
Chicago	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 69,826	2.3%
Chicago	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 52,877	1.1%
Chicago	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 83,728	-0.4%
Chicago	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 41,933	2.7%
Chicago	Job Title	2019-10	IT Manager	Median Base Pay	$ 105,888	3.0%
Chicago	Job Title	2019-10	Java Developer	Median Base Pay	$ 85,918	1.5%
Chicago	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 52,948	1.9%
Chicago	Job Title	2019-10	Loan Officer	Median Base Pay	$ 44,779	1.1%
Chicago	Job Title	2019-10	Machine Operator	Median Base Pay	$ 42,670	4.8%
Chicago	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 49,190	5.3%
Chicago	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 44,638	0.3%
Chicago	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 78,060	2.8%
Chicago	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 82,542	1.9%
Chicago	Job Title	2019-10	Material Handler	Median Base Pay	$ 37,913	2.8%
Chicago	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 78,654	2.2%
Chicago	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 36,937	2.8%
Chicago	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 57,174	2.6%
Chicago	Job Title	2019-10	Office Manager	Median Base Pay	$ 54,269	2.9%
Chicago	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 63,766	0.3%
Chicago	Job Title	2019-10	Operations Manager	Median Base Pay	$ 76,138	2.0%
Chicago	Job Title	2019-10	Paralegal	Median Base Pay	$ 59,684	2.3%
Chicago	Job Title	2019-10	Pharmacist	Median Base Pay	$ 121,446	-0.7%
Chicago	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 34,364	4.9%
Chicago	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 80,129	3.5%
Chicago	Job Title	2019-10	Process Engineer	Median Base Pay	$ 84,627	1.7%
Chicago	Job Title	2019-10	Producer	Median Base Pay	$ 65,282	3.7%
Chicago	Job Title	2019-10	Product Manager	Median Base Pay	$ 104,530	2.1%
Chicago	Job Title	2019-10	Production Manager	Median Base Pay	$ 72,290	2.2%
Chicago	Job Title	2019-10	Professor	Median Base Pay	$ 101,006	2.5%
Chicago	Job Title	2019-10	Program Manager	Median Base Pay	$ 84,364	1.1%
Chicago	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 77,360	2.8%
Chicago	Job Title	2019-10	Project Manager	Median Base Pay	$ 82,912	1.5%
Chicago	Job Title	2019-10	Property Manager	Median Base Pay	$ 61,496	2.4%
Chicago	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 77,975	3.0%
Chicago	Job Title	2019-10	Recruiter	Median Base Pay	$ 56,612	3.8%
Chicago	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 70,736	2.2%
Chicago	Job Title	2019-10	Research Assistant	Median Base Pay	$ 33,762	2.7%
Chicago	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 30,023	1.0%
Chicago	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 53,273	2.0%
Chicago	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 33,478	5.1%
Chicago	Job Title	2019-10	Sales Manager	Median Base Pay	$ 75,176	3.8%
Chicago	Job Title	2019-10	Sales Representative	Median Base Pay	$ 54,072	3.1%
Chicago	Job Title	2019-10	Security Officer	Median Base Pay	$ 38,514	5.4%
Chicago	Job Title	2019-10	Server	Median Base Pay	$ 37,116	2.7%
Chicago	Job Title	2019-10	Software Engineer	Median Base Pay	$ 92,022	2.6%
Chicago	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 117,446	1.7%
Chicago	Job Title	2019-10	Store Manager	Median Base Pay	$ 55,728	2.3%
Chicago	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 84,595	2.6%
Chicago	Job Title	2019-10	Tax Manager	Median Base Pay	$ 100,052	1.4%
Chicago	Job Title	2019-10	Teacher	Median Base Pay	$ 56,079	3.0%
Chicago	Job Title	2019-10	Technical Editor	Median Base Pay	$ 56,974	2.5%
Chicago	Job Title	2019-10	Technical Support	Median Base Pay	$ 54,410	2.1%
Chicago	Job Title	2019-10	Technician	Median Base Pay	$ 51,000	3.1%
Chicago	Job Title	2019-10	Truck Driver	Median Base Pay	$ 61,673	3.3%
Chicago	Job Title	2019-10	UX Designer	Median Base Pay	$ 84,157	1.7%
Chicago	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 44,779	5.9%
Chicago	Job Title	2019-10	Web Designer	Median Base Pay	$ 65,662	1.8%
Chicago	Job Title	2019-10	Web Developer	Median Base Pay	$ 79,067	4.1%
Boston	Job Title	2019-10	Accountant	Median Base Pay	$ 65,290	2.0%
Boston	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 52,993	3.0%
Boston	Job Title	2019-10	Attorney	Median Base Pay	$ 112,722	1.7%
Boston	Job Title	2019-10	Bank Teller	Median Base Pay	$ 35,859	3.0%
Boston	Job Title	2019-10	Barista	Median Base Pay	$ 27,941	3.4%
Boston	Job Title	2019-10	Bartender	Median Base Pay	$ 44,814	1.9%
Boston	Job Title	2019-10	Business Analyst	Median Base Pay	$ 77,473	2.0%
Boston	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 80,313	-1.4%
Boston	Job Title	2019-10	Buyer	Median Base Pay	$ 62,928	3.7%
Boston	Job Title	2019-10	Cashier	Median Base Pay	$ 31,072	3.6%
Boston	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 35,155	4.1%
Boston	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 77,179	2.8%
Boston	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 57,245	3.9%
Boston	Job Title	2019-10	Communications Manager	Median Base Pay	$ 86,122	0.6%
Boston	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 52,895	6.7%
Boston	Job Title	2019-10	Consultant	Median Base Pay	$ 96,203	2.0%
Boston	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 61,472	1.2%
Boston	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 47,648	4.3%
Boston	Job Title	2019-10	Data Analyst	Median Base Pay	$ 73,326	3.9%
Boston	Job Title	2019-10	Data Scientist	Median Base Pay	$ 113,812	1.0%
Boston	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 45,860	1.9%
Boston	Job Title	2019-10	Design Engineer	Median Base Pay	$ 93,571	3.1%
Boston	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 89,401	2.5%
Boston	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 43,027	4.0%
Boston	Job Title	2019-10	Field Engineer	Median Base Pay	$ 76,225	2.2%
Boston	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 64,186	2.2%
Boston	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 71,138	2.5%
Boston	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 57,680	1.3%
Boston	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 88,464	-0.3%
Boston	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 45,774	2.8%
Boston	Job Title	2019-10	IT Manager	Median Base Pay	$ 109,612	3.1%
Boston	Job Title	2019-10	Java Developer	Median Base Pay	$ 97,269	1.7%
Boston	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 57,775	2.0%
Boston	Job Title	2019-10	Loan Officer	Median Base Pay	$ 54,383	1.3%
Boston	Job Title	2019-10	Machine Operator	Median Base Pay	$ 47,062	4.9%
Boston	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 55,028	5.5%
Boston	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 45,901	0.4%
Boston	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 82,837	2.9%
Boston	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 85,608	2.1%
Boston	Job Title	2019-10	Material Handler	Median Base Pay	$ 44,859	2.9%
Boston	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 85,935	2.3%
Boston	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 41,568	3.0%
Boston	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 66,211	2.7%
Boston	Job Title	2019-10	Office Manager	Median Base Pay	$ 60,982	3.0%
Boston	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 62,964	0.4%
Boston	Job Title	2019-10	Operations Manager	Median Base Pay	$ 80,885	2.2%
Boston	Job Title	2019-10	Paralegal	Median Base Pay	$ 60,393	2.4%
Boston	Job Title	2019-10	Pharmacist	Median Base Pay	$ 118,854	-0.5%
Boston	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 35,089	5.1%
Boston	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 81,046	3.7%
Boston	Job Title	2019-10	Process Engineer	Median Base Pay	$ 87,222	1.8%
Boston	Job Title	2019-10	Producer	Median Base Pay	$ 67,387	3.8%
Boston	Job Title	2019-10	Product Manager	Median Base Pay	$ 112,974	2.2%
Boston	Job Title	2019-10	Production Manager	Median Base Pay	$ 73,990	2.4%
Boston	Job Title	2019-10	Professor	Median Base Pay	$ 123,336	2.7%
Boston	Job Title	2019-10	Program Manager	Median Base Pay	$ 87,659	1.2%
Boston	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 78,569	3.0%
Boston	Job Title	2019-10	Project Manager	Median Base Pay	$ 85,383	1.6%
Boston	Job Title	2019-10	Property Manager	Median Base Pay	$ 69,317	2.5%
Boston	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 88,446	3.2%
Boston	Job Title	2019-10	Recruiter	Median Base Pay	$ 60,770	4.0%
Boston	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 77,966	2.3%
Boston	Job Title	2019-10	Research Assistant	Median Base Pay	$ 38,114	2.9%
Boston	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 35,286	1.2%
Boston	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 57,911	2.2%
Boston	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 36,532	5.3%
Boston	Job Title	2019-10	Sales Manager	Median Base Pay	$ 81,150	3.9%
Boston	Job Title	2019-10	Sales Representative	Median Base Pay	$ 60,432	3.2%
Boston	Job Title	2019-10	Security Officer	Median Base Pay	$ 43,786	5.6%
Boston	Job Title	2019-10	Server	Median Base Pay	$ 42,365	2.9%
Boston	Job Title	2019-10	Software Engineer	Median Base Pay	$ 100,583	2.7%
Boston	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 118,020	1.8%
Boston	Job Title	2019-10	Store Manager	Median Base Pay	$ 60,559	2.5%
Boston	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 90,285	2.7%
Boston	Job Title	2019-10	Tax Manager	Median Base Pay	$ 104,250	1.5%
Boston	Job Title	2019-10	Teacher	Median Base Pay	$ 60,956	3.2%
Boston	Job Title	2019-10	Technical Editor	Median Base Pay	$ 60,486	2.7%
Boston	Job Title	2019-10	Technical Support	Median Base Pay	$ 58,930	2.2%
Boston	Job Title	2019-10	Technician	Median Base Pay	$ 52,853	3.3%
Boston	Job Title	2019-10	Truck Driver	Median Base Pay	$ 62,745	3.5%
Boston	Job Title	2019-10	UX Designer	Median Base Pay	$ 90,439	1.9%
Boston	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 47,868	6.0%
Boston	Job Title	2019-10	Web Designer	Median Base Pay	$ 69,355	1.9%
Boston	Job Title	2019-10	Web Developer	Median Base Pay	$ 85,888	4.2%
Washington DC	Job Title	2019-10	Accountant	Median Base Pay	$ 67,405	1.3%
Washington DC	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 51,054	2.3%
Washington DC	Job Title	2019-10	Attorney	Median Base Pay	$ 137,609	1.0%
Washington DC	Job Title	2019-10	Bank Teller	Median Base Pay	$ 35,608	2.3%
Washington DC	Job Title	2019-10	Barista	Median Base Pay	$ 27,185	2.7%
Washington DC	Job Title	2019-10	Bartender	Median Base Pay	$ 40,949	1.1%
Washington DC	Job Title	2019-10	Business Analyst	Median Base Pay	$ 78,946	1.3%
Washington DC	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 85,470	-2.1%
Washington DC	Job Title	2019-10	Buyer	Median Base Pay	$ 63,073	3.0%
Washington DC	Job Title	2019-10	Cashier	Median Base Pay	$ 29,280	2.8%
Washington DC	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 32,601	3.3%
Washington DC	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 78,379	2.1%
Washington DC	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 57,513	3.2%
Washington DC	Job Title	2019-10	Communications Manager	Median Base Pay	$ 86,842	-0.1%
Washington DC	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 46,156	6.0%
Washington DC	Job Title	2019-10	Consultant	Median Base Pay	$ 85,417	1.3%
Washington DC	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 58,108	0.5%
Washington DC	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 43,884	3.6%
Washington DC	Job Title	2019-10	Data Analyst	Median Base Pay	$ 74,799	3.2%
Washington DC	Job Title	2019-10	Data Scientist	Median Base Pay	$ 107,384	0.3%
Washington DC	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 41,850	1.1%
Washington DC	Job Title	2019-10	Design Engineer	Median Base Pay	$ 87,013	2.4%
Washington DC	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 88,754	1.8%
Washington DC	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 43,174	3.2%
Washington DC	Job Title	2019-10	Field Engineer	Median Base Pay	$ 73,713	1.5%
Washington DC	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 60,611	1.5%
Washington DC	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 74,818	1.7%
Washington DC	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 57,959	0.6%
Washington DC	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 85,992	-1.0%
Washington DC	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 45,664	2.1%
Washington DC	Job Title	2019-10	IT Manager	Median Base Pay	$ 110,396	2.4%
Washington DC	Job Title	2019-10	Java Developer	Median Base Pay	$ 84,618	1.0%
Washington DC	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 50,088	1.3%
Washington DC	Job Title	2019-10	Loan Officer	Median Base Pay	$ 50,912	0.5%
Washington DC	Job Title	2019-10	Machine Operator	Median Base Pay	$ 41,569	4.2%
Washington DC	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 51,175	4.7%
Washington DC	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 43,926	-0.3%
Washington DC	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 80,768	2.2%
Washington DC	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 81,105	1.4%
Washington DC	Job Title	2019-10	Material Handler	Median Base Pay	$ 39,618	2.2%
Washington DC	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 82,011	1.6%
Washington DC	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 39,314	2.2%
Washington DC	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 59,992	2.0%
Washington DC	Job Title	2019-10	Office Manager	Median Base Pay	$ 58,757	2.3%2019-10

Washington DC	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 72,746	-0.3%
Washington DC	Job Title	2019-10	Operations Manager	Median Base Pay	$ 79,938	1.4%
Washington DC	Job Title	2019-10	Paralegal	Median Base Pay	$ 61,124	1.7%
Washington DC	Job Title	2019-10	Pharmacist	Median Base Pay	$ 124,021	-1.2%
Washington DC	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 34,408	4.4%
Washington DC	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 84,684	3.0%
Washington DC	Job Title	2019-10	Process Engineer	Median Base Pay	$ 87,514	1.1%
Washington DC	Job Title	2019-10	Producer	Median Base Pay	$ 71,541	3.1%
Washington DC	Job Title	2019-10	Product Manager	Median Base Pay	$ 113,202	1.5%
Washington DC	Job Title	2019-10	Production Manager	Median Base Pay	$ 74,481	1.7%
Washington DC	Job Title	2019-10	Professor	Median Base Pay	$ 103,209	2.0%
Washington DC	Job Title	2019-10	Program Manager	Median Base Pay	$ 98,756	0.5%
Washington DC	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 82,039	2.2%
Washington DC	Job Title	2019-10	Project Manager	Median Base Pay	$ 91,222	0.9%
Washington DC	Job Title	2019-10	Property Manager	Median Base Pay	$ 67,053	1.8%
Washington DC	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 86,151	2.4%
Washington DC	Job Title	2019-10	Recruiter	Median Base Pay	$ 63,327	3.2%
Washington DC	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 73,033	1.6%
Washington DC	Job Title	2019-10	Research Assistant	Median Base Pay	$ 36,076	2.2%
Washington DC	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 31,932	0.5%
Washington DC	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 56,023	1.5%
Washington DC	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 34,608	4.5%
Washington DC	Job Title	2019-10	Sales Manager	Median Base Pay	$ 74,961	3.2%
Washington DC	Job Title	2019-10	Sales Representative	Median Base Pay	$ 56,379	2.5%
Washington DC	Job Title	2019-10	Security Officer	Median Base Pay	$ 48,801	4.8%
Washington DC	Job Title	2019-10	Server	Median Base Pay	$ 37,388	2.2%
Washington DC	Job Title	2019-10	Software Engineer	Median Base Pay	$ 98,907	2.0%
Washington DC	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 124,913	1.1%
Washington DC	Job Title	2019-10	Store Manager	Median Base Pay	$ 58,885	1.8%
Washington DC	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 93,747	2.0%
Washington DC	Job Title	2019-10	Tax Manager	Median Base Pay	$ 106,594	0.8%
Washington DC	Job Title	2019-10	Teacher	Median Base Pay	$ 60,889	2.5%
Washington DC	Job Title	2019-10	Technical Editor	Median Base Pay	$ 66,849	2.0%
Washington DC	Job Title	2019-10	Technical Support	Median Base Pay	$ 59,504	1.5%
Washington DC	Job Title	2019-10	Technician	Median Base Pay	$ 54,161	2.6%
Washington DC	Job Title	2019-10	Truck Driver	Median Base Pay	$ 57,168	2.7%
Washington DC	Job Title	2019-10	UX Designer	Median Base Pay	$ 90,937	1.1%
Washington DC	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 43,634	5.3%
Washington DC	Job Title	2019-10	Web Designer	Median Base Pay	$ 69,622	1.2%
Washington DC	Job Title	2019-10	Web Developer	Median Base Pay	$ 89,896	3.5%
